PFAS,tissue,toadID,day,concentration_ug_per_kg
PFOS,liver,22-0180,0,267.1
PFOS,liver,22-0181,0,335.82
PFOS,liver,22-0196,0,256.4252292
PFOS,liver,22-0199,0,219.6923508
PFOS,liver,22-0201,0,384.1378003
PFOS,liver,22-0209,0,136.084561
PFOS,liver,22-0210,0,435.5664266
PFOS,liver,22-0213,0,411.8795978
PFOS,liver,22-0230,0,426.2672052
PFOS,liver,22-0231,0,175.4987701
PFOS,liver,22-0246,0,113.6597539
PFOS,liver,22-0247,0,137.8538954
PFOS,liver,22-0237,0,76.98052967
PFOS,liver,22-0197,7,427.8838315
PFOS,liver,22-0212,7,573.4635391
PFOS,liver,22-0214,7,659.3393481
PFOS,liver,22-0232,7,646.9592774
PFOS,liver,22-0234,7,506.2896842
PFOS,liver,22-0249,7,1168.093668
PFOS,liver,22-0200,14,1424.336938
PFOS,liver,22-0215,14,726.3851
PFOS,liver,22-0216,14,716.4183834
PFOS,liver,22-0233,14,1282.795101
PFOS,liver,22-0250,14,845.9794032
PFOS,liver,22-0202,21,1097.712876
PFOS,liver,22-0217,21,327.4410465
PFOS,liver,22-0218,21,1117.227943
PFOS,liver,22-0235,21,969.107606
PFOS,liver,22-0240,21,849.8145812
PFOS,liver,22-0251,21,1216.326792
PFOS,liver,22-0203,28,1142.910892
PFOS,liver,22-0219,28,1229.386494
PFOS,liver,22-0221,28,1094.172557
PFOS,liver,22-0236,28,1688.804568
PFOS,liver,22-0241,28,1114.049536
PFOS,liver,22-0252,28,1716.112855
PFOS,liver,22-0182,35,2384.09107
PFOS,liver,22-0220,35,2168.800493
PFOS,liver,22-0224,35,2007.845721
PFOS,liver,22-0238,35,252.2545533
PFOS,liver,22-0253,35,939.8654353
PFOS,liver,22-0255,35,1782.58489
PFOS,liver,22-0183,42,887.4796916
PFOS,liver,22-0206,42,965.6774556
PFOS,liver,22-0222,42,1727.020495
PFOS,liver,22-0225,42,1329.058994
PFOS,liver,22-0254,42,1302.487186
PFOS,liver,22-0186,49,1652.950449
PFOS,liver,22-0205,49,824.4140688
PFOS,liver,22-0207,49,2166.001466
PFOS,liver,22-0223,49,820.2509418
PFOS,liver,22-0226,49,1075.329219
PFOS,liver,22-0244,49,1009.711713
PFOS,liver,22-0187,56,1293.369435
PFOS,liver,22-0208,56,1356.726209
PFOS,liver,22-0228,56,1424.999666
PFOS,liver,22-0229,56,926.2783235
PFOS,liver,22-0245,56,924.008934
PFOS,liver,22-0256,56,680.0368322
PFOS,wholebody,22-0180,0,83.16
PFOS,wholebody,22-0181,0,8.34
PFOS,wholebody,22-0196,0,36.31155064
PFOS,wholebody,22-0199,0,38.85892243
PFOS,wholebody,22-0201,0,6.023527906
PFOS,wholebody,22-0209,0,11.07134063
PFOS,wholebody,22-0210,0,19.18507243
PFOS,wholebody,22-0213,0,32.47503909
PFOS,wholebody,22-0230,0,30.59274592
PFOS,wholebody,22-0231,0,14.12241237
PFOS,wholebody,22-0246,0,18.76443031
PFOS,wholebody,22-0247,0,7.358043922
PFOS,wholebody,22-0237,0,39.12453447
PFOS,wholebody,22-0197,7,86.34473604
PFOS,wholebody,22-0212,7,165.6539782
PFOS,wholebody,22-0214,7,386.0525212
PFOS,wholebody,22-0232,7,63.54089254
PFOS,wholebody,22-0234,7,85.29156282
PFOS,wholebody,22-0249,7,158.1589508
PFOS,wholebody,22-0200,14,154.8746296
PFOS,wholebody,22-0215,14,114.3465325
PFOS,wholebody,22-0216,14,795.0169927
PFOS,wholebody,22-0233,14,145.7801144
PFOS,wholebody,22-0250,14,343.2392722
PFOS,wholebody,22-0202,21,182.937415
PFOS,wholebody,22-0217,21,99.99122982
PFOS,wholebody,22-0218,21,773.4238052
PFOS,wholebody,22-0235,21,146.2442009
PFOS,wholebody,22-0240,21,216.1100962
PFOS,wholebody,22-0251,21,278.9892051
PFOS,wholebody,22-0203,28,971.6310845
PFOS,wholebody,22-0219,28,439.7043352
PFOS,wholebody,22-0221,28,513.8412557
PFOS,wholebody,22-0236,28,491.0643169
PFOS,wholebody,22-0241,28,173.1555653
PFOS,wholebody,22-0252,28,509.6984592
PFOS,wholebody,22-0182,35,548.1662941
PFOS,wholebody,22-0220,35,200.128225
PFOS,wholebody,22-0224,35,452.7453618
PFOS,wholebody,22-0238,35,235.3175912
PFOS,wholebody,22-0253,35,162.5434816
PFOS,wholebody,22-0255,35,338.75148
PFOS,wholebody,22-0183,42,324.7281679
PFOS,wholebody,22-0206,42,178.2949461
PFOS,wholebody,22-0222,42,391.8945599
PFOS,wholebody,22-0225,42,670.6008301
PFOS,wholebody,22-0254,42,297.1553649
PFOS,wholebody,22-0186,49,168.9518092
PFOS,wholebody,22-0205,49,377.5168388
PFOS,wholebody,22-0207,49,512.7103069
PFOS,wholebody,22-0223,49,612.3119071
PFOS,wholebody,22-0226,49,292.8432896
PFOS,wholebody,22-0244,49,281.7109818
PFOS,wholebody,22-0187,56,753.9525204
PFOS,wholebody,22-0208,56,607.7052662
PFOS,wholebody,22-0228,56,363.7539039
PFOS,wholebody,22-0229,56,301.7599202
PFOS,wholebody,22-0245,56,201.2435649
PFOS,wholebody,22-0256,56,147.1138776
8:2 FTS,liver,22-0180,0,0
8:2 FTS,liver,22-0181,0,0
8:2 FTS,liver,22-0196,0,0
8:2 FTS,liver,22-0199,0,0
8:2 FTS,liver,22-0201,0,0
8:2 FTS,liver,22-0209,0,0
8:2 FTS,liver,22-0210,0,0
8:2 FTS,liver,22-0213,0,0
8:2 FTS,liver,22-0230,0,0
8:2 FTS,liver,22-0231,0,0
8:2 FTS,liver,22-0246,0,0
8:2 FTS,liver,22-0247,0,0
8:2 FTS,liver,22-0237,0,0
8:2 FTS,liver,22-0197,7,89.42
8:2 FTS,liver,22-0212,7,78.81
8:2 FTS,liver,22-0214,7,88.8
8:2 FTS,liver,22-0232,7,52.91
8:2 FTS,liver,22-0234,7,47.8
8:2 FTS,liver,22-0249,7,80.33
8:2 FTS,liver,22-0200,14,69.55
8:2 FTS,liver,22-0215,14,83.47
8:2 FTS,liver,22-0216,14,94.05
8:2 FTS,liver,22-0233,14,69.31
8:2 FTS,liver,22-0250,14,117.22
8:2 FTS,liver,22-0202,21,133.14
8:2 FTS,liver,22-0217,21,40.24
8:2 FTS,liver,22-0218,21,61.57
8:2 FTS,liver,22-0235,21,132.46
8:2 FTS,liver,22-0240,21,68.32
8:2 FTS,liver,22-0251,21,101.83
8:2 FTS,liver,22-0203,28,92.06
8:2 FTS,liver,22-0219,28,84.09
8:2 FTS,liver,22-0221,28,37.78
8:2 FTS,liver,22-0236,28,68.12
8:2 FTS,liver,22-0241,28,71.92
8:2 FTS,liver,22-0252,28,143.07
8:2 FTS,liver,22-0182,35,41.62
8:2 FTS,liver,22-0220,35,27.81
8:2 FTS,liver,22-0224,35,79.83
8:2 FTS,liver,22-0238,35,8.99
8:2 FTS,liver,22-0253,35,46.71
8:2 FTS,liver,22-0255,35,132.9
8:2 FTS,liver,22-0183,42,19.17
8:2 FTS,liver,22-0206,42,2.27
8:2 FTS,liver,22-0222,42,52.55
8:2 FTS,liver,22-0225,42,7.29
8:2 FTS,liver,22-0254,42,27.9
8:2 FTS,liver,22-0186,49,22.68
8:2 FTS,liver,22-0205,49,23.33
8:2 FTS,liver,22-0207,49,12.26
8:2 FTS,liver,22-0223,49,22.16
8:2 FTS,liver,22-0226,49,17.66
8:2 FTS,liver,22-0244,49,4.62
8:2 FTS,liver,22-0187,56,13.63
8:2 FTS,liver,22-0208,56,6.02
8:2 FTS,liver,22-0228,56,5.84
8:2 FTS,liver,22-0229,56,5.84
8:2 FTS,liver,22-0245,56,2.38
8:2 FTS,liver,22-0256,56,0
8:2 FTS,wholebody,22-0180,0,0
8:2 FTS,wholebody,22-0181,0,0
8:2 FTS,wholebody,22-0196,0,0
8:2 FTS,wholebody,22-0199,0,0
8:2 FTS,wholebody,22-0201,0,0
8:2 FTS,wholebody,22-0209,0,0
8:2 FTS,wholebody,22-0210,0,0
8:2 FTS,wholebody,22-0213,0,0
8:2 FTS,wholebody,22-0230,0,0
8:2 FTS,wholebody,22-0231,0,0
8:2 FTS,wholebody,22-0246,0,0
8:2 FTS,wholebody,22-0247,0,0
8:2 FTS,wholebody,22-0237,0,0
8:2 FTS,wholebody,22-0197,7,23.38
8:2 FTS,wholebody,22-0212,7,49.84
8:2 FTS,wholebody,22-0214,7,85.14
8:2 FTS,wholebody,22-0232,7,20.67
8:2 FTS,wholebody,22-0234,7,16.96
8:2 FTS,wholebody,22-0249,7,36.62
8:2 FTS,wholebody,22-0200,14,21.23
8:2 FTS,wholebody,22-0215,14,22.46
8:2 FTS,wholebody,22-0216,14,176.17
8:2 FTS,wholebody,22-0233,14,12.81
8:2 FTS,wholebody,22-0250,14,41.21
8:2 FTS,wholebody,22-0202,21,37.85
8:2 FTS,wholebody,22-0217,21,21.99
8:2 FTS,wholebody,22-0218,21,75.46
8:2 FTS,wholebody,22-0235,21,22.52
8:2 FTS,wholebody,22-0240,21,21.63
8:2 FTS,wholebody,22-0251,21,37.8
8:2 FTS,wholebody,22-0203,28,67.69
8:2 FTS,wholebody,22-0219,28,67.2
8:2 FTS,wholebody,22-0221,28,30.51
8:2 FTS,wholebody,22-0236,28,32.5
8:2 FTS,wholebody,22-0241,28,18.76
8:2 FTS,wholebody,22-0252,28,65.73
8:2 FTS,wholebody,22-0182,35,17.62
8:2 FTS,wholebody,22-0220,35,4.79
8:2 FTS,wholebody,22-0224,35,38.3
8:2 FTS,wholebody,22-0238,35,12.32
8:2 FTS,wholebody,22-0253,35,11.92
8:2 FTS,wholebody,22-0255,35,52.14
8:2 FTS,wholebody,22-0183,42,12.32
8:2 FTS,wholebody,22-0206,42,0
8:2 FTS,wholebody,22-0222,42,18.33
8:2 FTS,wholebody,22-0225,42,17.16
8:2 FTS,wholebody,22-0254,42,17.59
8:2 FTS,wholebody,22-0186,49,3.94
8:2 FTS,wholebody,22-0205,49,13.52
8:2 FTS,wholebody,22-0207,49,4.49
8:2 FTS,wholebody,22-0223,49,36.28
8:2 FTS,wholebody,22-0226,49,9.86
8:2 FTS,wholebody,22-0244,49,4.56
8:2 FTS,wholebody,22-0187,56,16.52
8:2 FTS,wholebody,22-0208,56,8.07
8:2 FTS,wholebody,22-0228,56,3.35
8:2 FTS,wholebody,22-0229,56,4.06
8:2 FTS,wholebody,22-0245,56,1.23
8:2 FTS,wholebody,22-0256,56,0
